"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"apambnut  ","S",01/07/2019 12:11,0,1,1         ,1         ,"",0.0080,<0>  ,0.0230,<0>  ,"","","","",0.4500,<0>  ,2.2000,<0>  ,
"apambnut  ","S",02/06/2019 13:50,0,1,1         ,1         ,"",0.0100,<0>  ,0.0210,<0>  ,"","","","",0.5400,<0>  ,4.0000,<0>  ,
"apambnut  ","S",03/25/2019 14:52,0,1,1         ,1         ,"",0.0040,<-4> [SBL] ,0.0090,<0>  ,"","","","",0.3300,<0>  ,5.2000,<0>  ,
"apambnut  ","S",04/02/2019 10:50,0,1,1         ,1         ,"",0.0040,<-4> [SBL] ,0.0250,<0>  ,"","","","",0.2700,<0>  ,5.5000,<0>  ,
"apambnut  ","S",05/07/2019 10:55,0,1,1         ,1         ,"",0.0040,<-4> [SBL] ,0.0030,<0>  ,"","","","",0.1000,<0>  ,8.5000,<0>  ,
"apambnut  ","S",06/04/2019 13:49,0,1,1         ,1         ,"",0.0040,<-4> [SBL] ,0.0020,<0>  ,"","","","",0.0040,<-4> [SBL] ,8.4000,<0>  ,
"apambnut  ","S",07/09/2019 10:44,0,1,1         ,1         ,"",0.0040,<-4> [SBL] ,0.0060,<0>  ,"","","","",0.0340,<0>  ,11.0000,<0>  ,
"apambnut  ","S",08/07/2019 10:15,0,1,1         ,1         ,"","",<0>  ,"",<0>  ,"","","","","",<0>  ,"",<0>  ,
"apambnut  ","S",09/17/2019 14:21,0,1,1         ,1         ,"",0.0040,<-4> [SBL] ,0.0070,<0>  ,"","","","",0.0040,<-4> [SBL] ,8.5000,<0>  ,
"apambnut  ","S",10/02/2019 11:10,0,1,1         ,1         ,"","",<0>  ,"",<0>  ,"","","","","",<0>  ,"",<0>  ,
"apambnut  ","S",11/05/2019 11:24,0,1,1         ,1         ,"",0.0040,<-4> [SBL] ,0.0040,<0>  ,"","","","",0.0390,<0>  ,8.7000,<0>  ,
"apambnut  ","S",12/03/2019 14:10,0,1,1         ,1         ,"",0.0040,<-4> [SBL] ,0.0060,<0>  ,"","","","",0.1100,<0>  ,8.9000,<0>  ,
